,P,TP,PP,FP,RN,TN,FN,精确率,召回率,f1
0,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
1,208,111,149,38,23898,23860,97,0.744966443,0.533653846,0.621848739
2,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
3,106,64,102,38,24000,23962,42,0.62745098,0.603773585,0.615384615
4,1,0,3,3,24105,24102,1,0,0,#DIV/0!
5,88,80,89,9,24018,24009,8,0.898876404,0.909090909,0.903954802
6,211,88,157,69,23895,23826,123,0.560509554,0.417061611,0.47826087
7,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
8,263,55,102,47,23843,23796,208,0.539215686,0.209125475,0.301369863
9,33,15,76,61,24073,24012,18,0.197368421,0.454545455,0.275229358
10,16,10,28,18,24090,24072,6,0.357142857,0.625,0.454545455
11,32,13,59,46,24074,24028,19,0.220338983,0.40625,0.285714286
12,13,1,29,28,24093,24065,12,0.034482759,0.076923077,0.047619048
13,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
14,569,109,154,45,23537,23492,460,0.707792208,0.191564148,0.301521438
15,37,14,65,51,24069,24018,23,0.215384615,0.378378378,0.274509804
16,33,15,60,45,24073,24028,18,0.25,0.454545455,0.322580645
17,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
18,42,7,55,48,24064,24016,35,0.127272727,0.166666667,0.144329897
19,43,26,64,38,24063,24025,17,0.40625,0.604651163,0.485981308
20,7,1,14,13,24099,24086,6,0.071428571,0.142857143,0.095238095
21,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
22,20,7,58,51,24086,24035,13,0.120689655,0.35,0.179487179
23,26,3,48,45,24080,24035,23,0.0625,0.115384615,0.081081081
24,51,6,60,54,24055,24001,45,0.1,0.117647059,0.108108108
25,19,4,33,29,24087,24058,15,0.121212121,0.210526316,0.153846154
26,14,6,45,39,24092,24053,8,0.133333333,0.428571429,0.203389831
27,4,0,1,1,24102,24101,4,0,0,#DIV/0!
28,8,0,10,10,24098,24088,8,0,0,#DIV/0!
29,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
30,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
31,6,1,10,9,24100,24091,5,0.1,0.166666667,0.125
32,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
33,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
34,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
35,1,0,0,0,24105,24105,1,#DIV/0!,0,#DIV/0!
36,1,0,0,0,24105,24105,1,#DIV/0!,0,#DIV/0!
37,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
38,7,0,22,22,24099,24077,7,0,0,#DIV/0!
39,21,2,41,39,24085,24046,19,0.048780488,0.095238095,0.064516129
40,1,0,2,2,24105,24103,1,0,0,#DIV/0!
41,9,0,25,25,24097,24072,9,0,0,#DIV/0!
42,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
43,4,0,3,3,24102,24099,4,0,0,#DIV/0!
44,3,0,6,6,24103,24097,3,0,0,#DIV/0!
45,3,1,2,1,24103,24102,2,0.5,0.333333333,0.4
46,4,1,2,1,24102,24101,3,0.5,0.25,0.333333333
47,2,0,1,1,24104,24103,2,0,0,#DIV/0!
48,5,0,6,6,24101,24095,5,0,0,#DIV/0!
49,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
50,20,3,46,43,24086,24043,17,0.065217391,0.15,0.090909091
51,6,0,5,5,24100,24095,6,0,0,#DIV/0!
52,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
53,1,0,0,0,24105,24105,1,#DIV/0!,0,#DIV/0!
54,0,0,0,0,24106,24106,0,#DIV/0!,#DIV/0!,#DIV/0!
